Cause	Effect	Regulators	Mediators
b1988	b3113	b1334	b3119
b1988	b3114	b1334	b3119
b1988	b3115	b1334	b3119
b1988	b3116	b1334	b3119
b1988	b3117	b1334	b3119
b1988	b3118	b1334	b3119
b1988	b4452	b0889	b1916
b1988	b0953		b1916
b1988	b3995	b0889	b1916
b1988	b3515	b1334 // b0889	b1916
b1988	b1707		b1916
b1988	b0093	b0889	b1916
b1988	b0094		b1916
b1988	b0095		b1916
b1988	b1851		b1827
b1988	b1850		b1827
b1988	b1386		b1384
b1988	b1385		b1384
b1988	b3741		b3743
b1988	b3742		b3743
b1988	b3744	b0889	b3743
